"File","Subroutine","FromLine","ToLine","FromRoutine","ToRoutine","FromNvar","ToNvar","InterveningStatements","HasCall","HasAssignment","Preview"
"get_grid.f90","get_grid","577","611","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('dndx') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % dndx) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","611","633","mp_exchange2d","mp_exchange2d","1","1","8","False","True","CASE ('x_psi') || gtype=p2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % pmask, GRID(ng) % xp) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","633","655","mp_exchange2d","mp_exchange2d","1","1","8","False","True","CASE ('y_psi') || gtype=p2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % pmask, GRID(ng) % yp) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","655","686","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('x_rho') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % xr) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","686","717","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('y_rho') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % yr) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","717","748","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('x_u') || gtype=u2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % umask, GRID(ng) % xu) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","748","779","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('y_u') || gtype=u2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % umask, GRID(ng) % yu) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","779","810","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('x_v') || gtype=v2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % vmask, GRID(ng) % xv) || IF (.not.spherical) THEN || CALL fill_contact(ng, model, tile, cr, Vcontact(cr)%Npoints, Vcontact, v2dvar, var_name(i), spval_check, LBi, UBi, LBj, UBj, CONTACT_METRIC(cr) % Xv, GRID(ng) % xv) || IF (exit_flag.ne.NoError) RETURN"
"get_grid.f90","get_grid","810","841","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('y_v') || gtype=v2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % vmask, GRID(ng) % yv) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","841","864","mp_exchange2d","mp_exchange2d","1","1","9","False","True","CASE ('lon_psi') || IF (spherical) THEN || gtype=p2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % pmask, GRID(ng) % lonp) || IF (status.ne.nf90_noerr) THEN || exit_flag=2"
"get_grid.f90","get_grid","864","888","mp_exchange2d","mp_exchange2d","1","1","10","False","True","END IF || CASE ('lat_psi') || IF (spherical) THEN || gtype=p2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % pmask, GRID(ng) % latp) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","888","919","mp_exchange2d","mp_exchange2d","1","1","12","True","True","END IF || CASE ('lon_rho') || IF (spherical) THEN || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, LonMin(ng), LonMax(ng), GRID(ng) % rmask, GRID(ng) % lonr) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","919","950","mp_exchange2d","mp_exchange2d","1","1","12","True","True","END IF || CASE ('lat_rho') || IF (spherical) THEN || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, LatMin(ng), LatMax(ng), GRID(ng) % rmask, GRID(ng) % latr) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","950","981","mp_exchange2d","mp_exchange2d","1","1","12","True","True","END IF || CASE ('lon_u') || IF (spherical) THEN || gtype=u2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % umask, GRID(ng) % lonu) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","981","1012","mp_exchange2d","mp_exchange2d","1","1","12","True","True","END IF || CASE ('lat_u') || IF (spherical) THEN || gtype=u2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % umask, GRID(ng) % latu) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","1012","1043","mp_exchange2d","mp_exchange2d","1","1","12","True","True","END IF || CASE ('lon_v') || IF (spherical) THEN || gtype=v2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % vmask, GRID(ng) % lonv) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","1043","1074","mp_exchange2d","mp_exchange2d","1","1","12","True","True","END IF || CASE ('lat_v') || IF (spherical) THEN || gtype=v2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % vmask, GRID(ng) % latv) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","1074","1109","mp_exchange2d","mp_exchange2d","1","1","14","True","True","END IF || CASE ('angle') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % angler) || IF (status.ne.nf90_noerr) THEN || exit_flag=2"
"get_nudgcoef.f90","get_nudgcoef","193","243","mp_exchange2d","mp_exchange3d","1","1","26","True","True","END IF || IF (LnudgeM3CLM(ng)) THEN || gtype=r3dvar || vindex=idM3nc || Fscl=1.0_r8/day2sec ! default units: 1/day || CALL netcdf_inq_var (ng, model, ncname, MyVarName = TRIM(Vname(1,vindex)), VarID = NUD(ng)%Vid(vindex), nVarDim = nvdim, nVarAtt = nvatt)"
"get_nudgcoef.f90","get_nudgcoef","243","307","mp_exchange3d","mp_exchange4d","1","1","37","True","True","END IF || ic=0 || DO itrc=1,NT(ng) || IF (LnudgeTCLM(itrc,ng)) THEN || ic=ic+1 || gtype=r3dvar"
"get_state.f90","get_state","750","783","mp_exchange3d","mp_exchange3d","1","1","17","False","True","END IF || IF (have_var(idTdif)) THEN || foundit=find_string(var_name, n_var, TRIM(Vname(1,idTdif)), varid) || gtype=var_flag(varid)*w3dvar || status=nf_fread3d(ng, IDmod, ncname, ncINPid, Vname(1,idTdif), varid, InpRec, gtype, Vsize, LBi, UBi, LBj, UBj, 0, N(ng), Fscl, Fmin,Fmax, GRID(ng) % rmask, MIXING(ng) % AKt(:,:,:,itemp)) || IF (status.ne.nf90_noerr) THEN"
"get_state.f90","get_state","783","816","mp_exchange3d","mp_exchange3d","1","1","17","False","True","END IF || IF (have_var(idSdif)) THEN || foundit=find_string(var_name, n_var, TRIM(Vname(1,idSdif)), varid) || gtype=var_flag(varid)*w3dvar || status=nf_fread3d(ng, IDmod, ncname, ncINPid, Vname(1,idSdif), varid, InpRec, gtype, Vsize, LBi, UBi, LBj, UBj, 0, N(ng), Fscl, Fmin,Fmax, GRID(ng) % rmask, MIXING(ng) % AKt(:,:,:,isalt)) || IF (status.ne.nf90_noerr) THEN"
"gls_corstep.f90","gls_corstep_tile","885","892","mp_exchange3d","mp_exchange4d","3","1","0","False","False",""
"ini_fields.f90","ini_fields_tile","280","384","mp_exchange3d","mp_exchange2d","4","4","56","True","True","IF (.not.PerfectRST(ng)) THEN || DO j=JstrB,JendB || DO i=IstrM,IendB || DC(i,0)=0.0_r8 || CF(i,0)=0.0_r8 || END DO"
"ini_fields.f90","ini_fields_tile","384","438","mp_exchange2d","mp_exchange4d","4","2","26","True","True","ic=0 || IF (.not.PerfectRST(ng)) THEN || DO itrc=1,NT(ng) || IF (LtracerCLM(itrc,ng).and.LnudgeTCLM(itrc,ng)) THEN || ic=ic+1 || END IF"
"ini_fields.f90","ini_fields_tile","438","470","mp_exchange4d","mp_exchange3d","2","3","10","True","True","IF (PerfectRST(ng)) THEN || IF (EWperiodic(ng).or.NSperiodic(ng)) THEN || DO i=1,2 || CALL exchange_u2d_tile (ng, tile, LBi, UBi, LBj, UBj, rubar(:,:,i)) || CALL exchange_v2d_tile (ng, tile, LBi, UBi, LBj, UBj, rvbar(:,:,i)) || CALL exchange_r2d_tile (ng, tile, LBi, UBi, LBj, UBj, rzeta(:,:,i))"
"ini_fields.f90","ini_fields_tile","470","475","mp_exchange3d","mp_exchange4d","3","2","0","False","False",""
"ini_fields.f90","ini_zeta_tile","698","705","mp_exchange2d","mp_exchange2d","2","1","1","False","False","IF (PerfectRST(ng)) THEN"
"ini_fields.f90","ini_zeta_tile","705","711","mp_exchange2d","mp_exchange2d","1","1","1","False","False","END IF"
"ini_fields.f90","ini_zeta_tile","711","733","mp_exchange2d","mp_exchange2d","1","1","8","True","True","DO j=JstrT,JendT || DO i=IstrT,IendT || Zt_avg1(i,j)=zeta(i,j,kstp) || END DO || END DO || IF (EWperiodic(ng).or.NSperiodic(ng)) THEN"
"ini_hmixcoef.f90","ini_hmixcoef_tile","311","316","mp_exchange2d","mp_exchange3d","2","1","0","False","False",""
"metrics.f90","metrics_tile","274","300","mp_exchange2d","mp_exchange2d","4","2","10","True","True","DO j=JstrT,JendT || DO i=IstrT,IendT || pnom_r(i,j)=pn(i,j)/pm(i,j) || pmon_r(i,j)=pm(i,j)/pn(i,j) || END DO || END DO"
"metrics.f90","metrics_tile","300","334","mp_exchange2d","mp_exchange2d","2","4","14","True","True","DO j=JstrT,JendT || DO i=IstrP,IendT || pmon_u(i,j)=(pm(i-1,j)+pm(i,j))/(pn(i-1,j)+pn(i,j)) || pnom_u(i,j)=(pn(i-1,j)+pn(i,j))/(pm(i-1,j)+pm(i,j)) || om_u(i,j)=2.0_r8/(pm(i-1,j)+pm(i,j)) || on_u(i,j)=2.0_r8/(pn(i-1,j)+pn(i,j))"
"metrics.f90","metrics_tile","334","368","mp_exchange2d","mp_exchange2d","4","4","14","True","True","DO j=JstrP,JendT || DO i=IstrT,IendT || pmon_v(i,j)=(pm(i,j-1)+pm(i,j))/(pn(i,j-1)+pn(i,j)) || pnom_v(i,j)=(pn(i,j-1)+pn(i,j))/(pm(i,j-1)+pm(i,j)) || om_v(i,j)=2.0_r8/(pm(i,j-1)+pm(i,j)) || on_v(i,j)=2.0_r8/(pn(i,j-1)+pn(i,j))"
"metrics.f90","metrics_tile","368","404","mp_exchange2d","mp_exchange2d","4","4","14","True","True","DO j=JstrP,JendT || DO i=IstrP,IendT || pnom_p(i,j)=(pn(i-1,j-1)+pn(i-1,j)+pn(i,j-1)+pn(i,j))/ (pm(i-1,j-1)+pm(i-1,j)+pm(i,j-1)+pm(i,j)) || pmon_p(i,j)=(pm(i-1,j-1)+pm(i-1,j)+pm(i,j-1)+pm(i,j))/ (pn(i-1,j-1)+pn(i-1,j)+pn(i,j-1)+pn(i,j)) || om_p(i,j)=4.0_r8/(pm(i-1,j-1)+pm(i-1,j)+pm(i,j-1)+pm(i,j)) || on_p(i,j)=4.0_r8/(pn(i-1,j-1)+pn(i-1,j)+pn(i,j-1)+pn(i,j))"
"metrics.f90","metrics_tile","404","478","mp_exchange2d","mp_exchange2d","4","1","30","True","True","cff1=1.0_r8 ! computation of off-diagonal nonlinear terms || cff2=2.0_r8 || DO j=JstrP,JendP || DO i=IstrP,IendP || IF ((rmask(i-1,j ).gt.0.5_r8).and. (rmask(i ,j ).gt.0.5_r8).and. (rmask(i-1,j-1).gt.0.5_r8).and. (rmask(i ,j-1).gt.0.5_r8)) THEN || pmask(i,j)=1.0_r8"
"metrics.f90","metrics_tile","478","504","mp_exchange2d","mp_exchange2d","1","2","10","True","True","DO j=JstrT,JendT || DO i=IstrT,IendT || CosAngler(i,j)=COS(angler(i,j)) || SinAngler(i,j)=SIN(angler(i,j)) || END DO || END DO"
"metrics.f90","metrics_tile","504","528","mp_exchange2d","mp_exchange2d","2","1","9","True","True","cff=0.0_r8 || DO j=JstrT,JendT || DO i=IstrT,IendT || grdscl(i,j)=SQRT(om_r(i,j)*on_r(i,j)) || END DO || END DO"
"metrics.f90","metrics_tile","528","560","mp_exchange2d","mp_exchange2d","1","1","12","True","True","my_DiffMin= Large || my_DiffMax=-Large || DO j=JstrT,JendT || DO i=IstrT,IendT || Hdiffusion(i,j)=PecletCoef*Uscale*grdscl(i,j)**3 || my_DiffMin=MIN(my_DiffMin, Hdiffusion(i,j))"
"nesting.f90","put_composite","1948","1980","mp_exchange2d","mp_exchange2d","2","1","14","True","True","END IF || IF ((isection.eq.nFSIC).or. (isection.eq.nzeta).or. (isection.eq.n2dPS).or. (isection.eq.n2dCS)) THEN || IF (isection.eq.nzeta) THEN || nrec=2 ! process time records 1 and 2 || ELSE || nrec=1 ! process knew record"
"nesting.f90","put_composite","1980","1999","mp_exchange2d","mp_exchange2d","1","1","5","True","True","END DO || END IF || IF (isection.eq.n2dPS) THEN || Tindex=1 || CALL put_contact2d (rg, model, tile, r2dvar, Vname(1,idRzet), cr, Rcontact(cr)%Npoints, Rcontact, LBi, UBi, LBj, UBj, GRID(rg) % rmask, COMPOSITE(cr) % rzeta, OCEAN(rg) % rzeta(:,:,Tindex))"
"nesting.f90","put_composite","1999","2038","mp_exchange2d","mp_exchange2d","1","2","15","True","True","END IF || IF ((isection.eq.n2dIC).or. (isection.eq.n2dPS).or. (isection.eq.n2dCS).or. (isection.eq.n3duv)) THEN || IF (isection.eq.n3duv) THEN || nrec=2 ! process time records 1 and 2 || ELSE || nrec=1 ! process knew record"
"nesting.f90","put_composite","2038","2072","mp_exchange2d","mp_exchange2d","2","3","6","True","False","END DO || END IF || IF (isection.eq.n2dfx) THEN || CALL put_contact2d (rg, model, tile, r2dvar, 'Zt_avg1', cr, Rcontact(cr)%Npoints, Rcontact, LBi, UBi, LBj, UBj, GRID(rg) % rmask, COMPOSITE(cr) % Zt_avg1, COUPLING(rg) % Zt_avg1) || CALL put_contact2d (rg, model, tile, u2dvar, Vname(1,idUfx1), cr, Ucontact(cr)%Npoints, Ucontact, LBi, UBi, LBj, UBj, GRID(rg) % umask, COMPOSITE(cr) % DU_avg1, COUPLING(rg) % DU_avg1) || CALL put_contact2d (rg, model, tile, v2dvar, Vname(1,idVfx1), cr, Vcontact(cr)%Npoints, Vcontact, LBi, UBi, LBj, UBj, GRID(rg) % vmask, COMPOSITE(cr) % DV_avg1, COUPLING(rg) % DV_avg1)"
"nesting.f90","put_composite","2072","2100","mp_exchange2d","mp_exchange4d","3","1","10","True","True","END IF || IF ((isection.eq.nTVIC).or. (isection.eq.nrhst).or. (isection.eq.n3dTV)) THEN || DO itrc=1,NT(ng) || IF (isection.eq.nrhst) THEN || Tindex=3 || ELSE"
